host,decision,group,path,bytes,allocated_bytes,mtime_utc,inode,device,nlink,reason,result
mac-external,DELETE_AFTER_CLOUD_VERIFICATION,hls-staging,/Volumes/4T Data/buv_render/utxo_hls_crf21,83924850329,83928145920,directory; re-inventory children,,,,"Latest-only policy: remove local streaming staging after verifying cloud object inventory and keeping the current MP4, playlist, recipe and upload state",deleted
mac-external,PROPOSE_DELETE,superseded-input-snapshot,/Volumes/4T Data/buv_render/changes.blk1.full,18165021409,18165022720,2026-08-18T12:43:15.880269+00:00,1914,16777240,1,Latest instruction keeps existing Mac working input and node v3 updater pair; no migration or duplicate backup required,deleted
mac-external,KEEP,protected,/Volumes/4T Data/buv_render/changes.blk1.full964k,18219536984,18219540480,2026-08-28T12:56:04+00:00,2547,16777240,1,Single working render input on Mac; updater pair remains on node; no additional backup copy,kept
mac-external,KEEP,protected,/Volumes/4T Data/buv_render/utxo_4k_epoch105k_60fps_exactledger_weighted_topband_splitpalette_transition_crf21.mp4,83926791196,83926794240,2026-09-03T12:05:38.080439+00:00,4075,16777240,1,Current production master,kept
mac-external,KEEP,protected,/Volumes/4T Data/buv_render/utxo_history.bin,58248613812,58248613888,2026-08-30T02:00:19.879217+00:00,2175,16777240,1,Exact history source and cloud index rebuild input,kept
mac-external,PROPOSE_DELETE,rejected-exactrgb,/Volumes/4T Data/buv_render/utxo_4k_epoch105k_60fps_exactledger_weighted_topband_flashvaluefix_crisp_exactrgb.mkv,312487945375,312487948288,2026-08-31T11:09:37.516141+00:00,3150,16777240,1,Rejected oversized full GBR render; keep small diagnostic sources,deleted
mac-external,PROPOSE_DELETE,rejected-exactrgb,/Volumes/4T Data/buv_render/utxo_4k_epoch105k_60fps_exactledger_weighted_topband_flashvaluefix_crisp_exactrgb.mp4,312498976361,312498978816,2026-08-31T15:29:42.397851+00:00,3331,16777240,1,Rejected oversized full GBR render; keep small diagnostic sources,deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/ABANDONED_crf16_partial.mkv,285999104,285999104,2026-08-31T13:43:53.628748+00:00,3231,16777240,1,Old sample or failed run; retain logs and selected short reference clips,deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/luttest/exactrgb_precomp_broken-player_block167675_6s.mp4,19192081,19193856,2026-08-31T15:53:18.847481+00:00,3381,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crf12.f300.rgb,24883200,24883200,2026-08-31T13:26:35.489257+00:00,3228,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
